English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
sing,唱歌,[sound:2c5260e2351eed52_uk.mp3],[sound:f41979946556bda4_us.mp3],"I can <span style=""color:red;""><b>sing</b></span> it after school.",放学后我可以唱这首歌。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sister,姐姐,[sound:2759674fa55f5749_uk.mp3],[sound:16cb8c7f7aca6cea_us.mp3],"I can see a <span style=""color:red;""><b>sister</b></span> here.",我在这里可以看到一个姐姐。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sit,坐,[sound:03f40a90d1ebe632_uk.mp3],[sound:2021205e3ed25085_us.mp3],"I can <span style=""color:red;""><b>sit</b></span> it after school.",放学后我可以坐它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
ski,滑雪,[sound:66fb7f8e96dba002_uk.mp3],[sound:af1ec0e246662f7c_us.mp3],"I can see a <span style=""color:red;""><b>ski</b></span> here.",我可以在这里看到滑雪板。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sky,天空,[sound:eab2141545395ef0_uk.mp3],[sound:402cd4da38cd48ca_us.mp3],"I can see a <span style=""color:red;""><b>sky</b></span> here.",我在这里可以看到天空。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
skyscraper,摩天大楼,[sound:5ae6173bc76187ba_uk.mp3],[sound:a61b28ffdd5f011e_us.mp3],"I can see a <span style=""color:red;""><b>skyscraper</b></span> here.",我可以在这里看到一座摩天大楼。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sleep,睡觉,[sound:93331402405f0c82_uk.mp3],[sound:d6118f97b72366c4_us.mp3],"I can <span style=""color:red;""><b>sleep</b></span> it after school.",放学后我就可以睡觉了。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
small,小的,[sound:37fc831af7ed6ac4_uk.mp3],[sound:3b604c6fed8db2ed_us.mp3],"I can see a <span style=""color:red;""><b>small</b></span> here.",我在这里可以看到一个小。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
smile,微笑,[sound:6bd1b71ed4fcad4e_uk.mp3],[sound:562436ec5acbf957_us.mp3],"I can <span style=""color:red;""><b>smile</b></span> it after school.",放学后我可以微笑。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
snake,蛇,[sound:ef299a07b0e37a63_uk.mp3],[sound:895499c220a3e46a_us.mp3],"I can see a <span style=""color:red;""><b>snake</b></span> at the zoo.",我可以在动物园看到一条蛇。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
snow,雪,[sound:87daf597b580c00c_uk.mp3],[sound:d6daa91c099bbeb7_us.mp3],"I can see a <span style=""color:red;""><b>snow</b></span> here.",我可以在这里看到雪。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
so,所以,[sound:f6a3782a7e6e3267_uk.mp3],[sound:81318af97433061a_us.mp3],"I can see a <span style=""color:red;""><b>so</b></span> here.",我可以在这里看到这样。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
son,儿子,[sound:aa23fc6114171086_uk.mp3],[sound:04069d84f2fff970_us.mp3],"I can see a <span style=""color:red;""><b>son</b></span> here.",我可以在这里看到一个儿子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sophia,索菲亚,[sound:710656bfa4b4752d_uk.mp3],[sound:43c9d5e83fd481c9_us.mp3],"I can see a <span style=""color:red;""><b>sophia</b></span> here.",我可以在这里看到索菲亚。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
soup,汤,[sound:3a125f4b6acbe424_uk.mp3],[sound:699f83d95ef425a5_us.mp3],"I like eating <span style=""color:red;""><b>soup</b></span> for lunch.",我午餐喜欢喝汤。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
spaceship,飞船,[sound:35ac922ed0a7a1b7_uk.mp3],[sound:3488fdf68c7c1c84_us.mp3],"I can see a <span style=""color:red;""><b>spaceship</b></span> here.",我可以在这里看到一艘宇宙飞船。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
spell,拼写,[sound:0ed42d30c5d1f4e8_uk.mp3],[sound:e94faaad43a71175_us.mp3],"I can <span style=""color:red;""><b>spell</b></span> it after school.",放学后我可以拼写它。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
spider,蜘蛛,[sound:df492ddd5738ade3_uk.mp3],[sound:a1604defb16224c9_us.mp3],"I can see a <span style=""color:red;""><b>spider</b></span> at the zoo.",我在动物园看到一只蜘蛛。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
sports centre (US center),体育中心,[sound:ba9ed9fab0ca083b_uk.mp3],[sound:de1e8f950902ffcc_us.mp3],"We can use ""<span style=""color:red;""><b>sports centre</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“体育中心”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
star,星星,[sound:d039ca221bcd54ad_uk.mp3],[sound:81e51738ce317ee6_us.mp3],"I can see a <span style=""color:red;""><b>star</b></span> here.",我可以在这里看到一颗星星。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
story,故事,[sound:e8caab118bb10e9b_uk.mp3],[sound:775435d33461c4f4_us.mp3],"I can see the <span style=""color:red;""><b>story</b></span> in my classroom.",我可以在教室里看到这个故事。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
straight on,直接,[sound:328bc6ba1363aec7_uk.mp3],[sound:d4601ec104675de2_us.mp3],"We can use ""<span style=""color:red;""><b>straight on</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“straight on”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
strawberry,草莓,[sound:78a70c0bda7cf048_uk.mp3],[sound:70938593b6b6ed20_us.mp3],"I like eating <span style=""color:red;""><b>strawberry</b></span> for lunch.",我午餐喜欢吃草莓。,易错（tricky）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
street,街道,[sound:1d226d6ed23bb44f_uk.mp3],[sound:ea6c3df2cbd4bfc6_us.mp3],"We can go to the <span style=""color:red;""><b>street</b></span> today.",今天我们可以去街上。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
study,学习,[sound:a1bf67a2c106bea0_uk.mp3],[sound:854c16986ebfadfa_us.mp3],"I can <span style=""color:red;""><b>study</b></span> it after school.",我可以放学后学习。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
subject,主题,[sound:08df847902e492fc_uk.mp3],[sound:ed4561ddffa8212f_us.mp3],"I can see the <span style=""color:red;""><b>subject</b></span> in my classroom.",我可以在教室里看到这个主题。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
sugar,糖,[sound:35d8c42ef93d6571_uk.mp3],[sound:7941bbf412afc542_us.mp3],"I like eating <span style=""color:red;""><b>sugar</b></span> for lunch.",我午餐喜欢吃糖。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
suitcase,手提箱,[sound:0ffeeb66fd6934b5_uk.mp3],[sound:28a8738c019dc105_us.mp3],"I can see a <span style=""color:red;""><b>suitcase</b></span> here.",我在这里看到一个手提箱。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sun,太阳,[sound:f0fe247d67417b82_uk.mp3],[sound:db14b086f8868c22_us.mp3],"I can see a <span style=""color:red;""><b>sun</b></span> here.",我可以在这里看到太阳。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sunday,星期日,[sound:d9d4f48682373e9c_uk.mp3],[sound:33f7b885a2a4fc8c_us.mp3],"We will talk about <span style=""color:red;""><b>sunday</b></span> in class today.",我们今天将在课堂上讨论周日。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
sunglasses,太阳镜,[sound:a48f5fe84800cf50_uk.mp3],[sound:bba50411150ce9fa_us.mp3],"I can see a <span style=""color:red;""><b>sunglasses</b></span> here.",我可以在这里看到一副太阳镜。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
supermarket,超级市场,[sound:134498fe83af394e_uk.mp3],[sound:1cfc5c5e02e09932_us.mp3],"We can go to the <span style=""color:red;""><b>supermarket</b></span> today.",今天我们可以去超市。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
swan,天鹅,[sound:e52dbb3681aa4e54_uk.mp3],[sound:3590880d6b71afb6_us.mp3],"I can see a <span style=""color:red;""><b>swan</b></span> at the zoo.",我可以在动物园看到一只天鹅。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
swim,游泳,[sound:cea15dc4ea2fe2b7_uk.mp3],[sound:6ffc92f3a9fd92f4_us.mp3],"I can <span style=""color:red;""><b>swim</b></span> it after school.",放学后我可以游泳。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
table,桌子,[sound:0247f38382456436_uk.mp3],[sound:b0e0567c9dc3de2c_us.mp3],"I can see a <span style=""color:red;""><b>table</b></span> here.",我可以在这里看到一张桌子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tail,尾巴,[sound:ea9e63ed3dd97201_uk.mp3],[sound:f457ac027bb03d92_us.mp3],"I can see a <span style=""color:red;""><b>tail</b></span> here.",我在这里可以看到一条尾巴。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
talk,讲话,[sound:7aab497edfd1e135_uk.mp3],[sound:5830350fea2fa21d_us.mp3],"I can <span style=""color:red;""><b>talk</b></span> it after school.",放学后我可以谈。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
tall,高的,[sound:d0d9b818a31057e0_uk.mp3],[sound:b3e3e1548b3320b4_us.mp3],"This is a <span style=""color:red;""><b>tall</b></span> one.",这是一个高个子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tea,茶,[sound:663c70c397027d0c_uk.mp3],[sound:a0a88e3f30a5e158_us.mp3],"I like eating <span style=""color:red;""><b>tea</b></span> for lunch.",我午餐喜欢吃茶。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
teacher,老师,[sound:5405bcccff5aa25d_uk.mp3],[sound:3867a7970bb4b9c8_us.mp3],"I can see the <span style=""color:red;""><b>teacher</b></span> in my classroom.",我可以在教室里看到老师。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
telephone,电话,[sound:3628b2dd1640e871_uk.mp3],[sound:953eeabba920e9fe_us.mp3],"I can see the <span style=""color:red;""><b>telephone</b></span> in my classroom.",我可以看到教室里有电话。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
television/TV,电视/电视,[sound:8b22473b64f7fa83_uk.mp3],[sound:d0d248f7ca2739ae_us.mp3],"I can see a <span style=""color:red;""><b>television/tv</b></span> here.",我可以在这里看电视。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tell,告诉,[sound:8807c7c99b8a53fc_uk.mp3],[sound:4c4e459681c26ac0_us.mp3],"I can <span style=""color:red;""><b>tell</b></span> it after school.",放学后我可以告诉你。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
the,这,[sound:92af1dfc1e3ff253_uk.mp3],[sound:8a221155d680c2e2_us.mp3],"I can see a <span style=""color:red;""><b>the</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
theatre (US theater),剧院,[sound:6020a52e5c48973d_uk.mp3],[sound:c69c6c0835b50220_us.mp3],"We can use ""<span style=""color:red;""><b>theatre</b></span>"" in a simple sentence.",我们可以在一个简单的句子中使用“剧院”。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
thing,事物,[sound:bd7f2e6bf5fefb72_uk.mp3],[sound:4e1244790133f5ae_us.mp3],"I can see a <span style=""color:red;""><b>thing</b></span> here.",我在这里可以看到一件事。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
think,思考,[sound:1640b70183f65881_uk.mp3],[sound:ddbe2104ddb82060_us.mp3],"I can <span style=""color:red;""><b>think</b></span> it after school.",放学后我可以想。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
through,通过,[sound:854fea003e8a0035_uk.mp3],[sound:c41bee3adf5bc7ea_us.mp3],"I can see a <span style=""color:red;""><b>through</b></span> here.",我可以看到这里。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
throw,扔,[sound:d68482181966d9cb_uk.mp3],[sound:6369d752b09a58dc_us.mp3],"I can <span style=""color:red;""><b>throw</b></span> it after school.",放学后我可以把它扔掉。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
Thursday,周四,[sound:66741e7da9a3473d_uk.mp3],[sound:b77650d76858a697_us.mp3],"We will talk about <span style=""color:red;""><b>thursday</b></span> in class today.",今天我们将在课堂上讨论星期四。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
tiger,老虎,[sound:7ea023ffa9915820_uk.mp3],[sound:498caba13f646dc7_us.mp3],"I can see a <span style=""color:red;""><b>tiger</b></span> at the zoo.",我可以在动物园看到一只老虎。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
time,时间,[sound:9f332f4bf30f9a92_uk.mp3],[sound:057b95e07074b6b3_us.mp3],"We will talk about <span style=""color:red;""><b>time</b></span> in class today.",我们今天将在课堂上讨论时间。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
timetable,时间表,[sound:19ba2aade62622b6_uk.mp3],[sound:a3ca8ddd9ec3886f_us.mp3],"We will talk about <span style=""color:red;""><b>timetable</b></span> in class today.",今天我们将在课堂上讨论时间表。,易错（tricky）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
tired,疲劳的,[sound:2bbdca2204c1afee_uk.mp3],[sound:959d662ef4c5e708_us.mp3],"I can see a <span style=""color:red;""><b>tired</b></span> here.",我可以看到这里很累。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
to,到,[sound:576394dc0a62640a_uk.mp3],[sound:f05f57002a49ff81_us.mp3],"I can see a <span style=""color:red;""><b>to</b></span> here.",我可以看到这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
today,今天,[sound:f9b571aa79863ee9_uk.mp3],[sound:a7fc44ff0bac86a6_us.mp3],"We will talk about <span style=""color:red;""><b>today</b></span> in class today.",今天我们将在课堂上讨论今天的话题。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
toe,脚趾,[sound:9593e84d0c7449b3_uk.mp3],[sound:fbe921f27869d63c_us.mp3],"I can see a <span style=""color:red;""><b>toe</b></span> here.",我在这里可以看到一个脚趾。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tomorrow,明天,[sound:4a7cb265f29b2545_uk.mp3],[sound:9f93d58abe838ba5_us.mp3],"We will talk about <span style=""color:red;""><b>tomorrow</b></span> in class today.",我们今天在课堂上讨论明天的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
too,也,[sound:5814a0bd01cfbcf3_uk.mp3],[sound:a895cb008020b7c3_us.mp3],"I can see a <span style=""color:red;""><b>too</b></span> here.",我在这里也能看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
top,顶部,[sound:10f1a02421d9411d_uk.mp3],[sound:1b60f164b7bb687b_us.mp3],"I can see a <span style=""color:red;""><b>top</b></span> here.",我可以在这里看到一个顶部。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tortoise,龟,[sound:f1406f1f400912fe_uk.mp3],[sound:76571f40cc25b278_us.mp3],"I can see a <span style=""color:red;""><b>tortoise</b></span> at the zoo.",我可以在动物园看到一只乌龟。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
town,镇,[sound:94afdf21166bc60b_uk.mp3],[sound:d286b7c6e46a00b0_us.mp3],"We can go to the <span style=""color:red;""><b>town</b></span> today.",今天我们可以进城。,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
toy,玩具,[sound:29d770c2ae7280fe_uk.mp3],[sound:7b11190703ca6840_us.mp3],"I can see a <span style=""color:red;""><b>toy</b></span> here.",我在这里看到一个玩具。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
train,火车,[sound:584ab36bc722c766_uk.mp3],[sound:58412129401cdc08_us.mp3],"I can see a <span style=""color:red;""><b>train</b></span> here.",我可以在这里看到一列火车。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tree,树,[sound:8e90a84813cd5914_uk.mp3],[sound:a74ede31f371ee8c_us.mp3],"I can see a <span style=""color:red;""><b>tree</b></span> here.",我可以在这里看到一棵树。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
trousers,裤子,[sound:ad8cad4aad53a6d6_uk.mp3],[sound:127708ab851b1a35_us.mp3],"I can see a <span style=""color:red;""><b>trousers</b></span> here.",我可以在这里看到一条裤子。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
try,尝试,[sound:81858c425967c0b7_uk.mp3],[sound:2d06acdcc0aa05a8_us.mp3],"I can see a <span style=""color:red;""><b>try</b></span> here.",我可以在这里看到一个尝试。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Tuesday,周二,[sound:c02485e0512fa384_uk.mp3],[sound:cf2247b0241182ae_us.mp3],"We will talk about <span style=""color:red;""><b>tuesday</b></span> in class today.",我们今天将在课堂上讨论星期二的话题。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
turn off,关,[sound:9a44a4c9d50d71f0_uk.mp3],[sound:5e390d91939efcf0_us.mp3],"Please <span style=""color:red;""><b>turn off</b></span> the computer.",请关闭电脑。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
turn on,打开,[sound:c43a26ec32322a87_uk.mp3],[sound:f0a9997082f0b438_us.mp3],"Please <span style=""color:red;""><b>turn on</b></span> the light.",请打开灯。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
ugly,丑陋的,[sound:08da4a52178d9485_uk.mp3],[sound:fd024d139a7b98b0_us.mp3],"This is a <span style=""color:red;""><b>ugly</b></span> one.",这是一件丑陋的事。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
umbrella,伞,[sound:2834c5f5d7647949_uk.mp3],[sound:bba4084fc9296240_us.mp3],"I can see an <span style=""color:red;""><b>umbrella</b></span> here.",我在这里看到一把雨伞。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
uniform,制服,[sound:1cfca58a244e2c1b_uk.mp3],[sound:36598af230968799_us.mp3],"I can see an <span style=""color:red;""><b>uniform</b></span> here.",我可以在这里看到制服。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
university,大学,[sound:b6219f583b069e49_uk.mp3],[sound:5375bf39e7cbd7d2_us.mp3],"We can go to the <span style=""color:red;""><b>university</b></span> today.",今天我们可以去大学了。,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
up,向上,[sound:7eb588a66cab42d9_uk.mp3],[sound:02b4ab7d64b08a1e_us.mp3],"I can see an <span style=""color:red;""><b>up</b></span> here.",我可以在这里看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
us,我们,[sound:19970713fa05a21b_uk.mp3],[sound:2e10729c5edd66eb_us.mp3],"I can see an <span style=""color:red;""><b>us</b></span> here.",我可以在这里看到我们。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
use,使用,[sound:ecd05bbeb68b2518_uk.mp3],[sound:6410ce2d21f14266_us.mp3],"I can see an <span style=""color:red;""><b>use</b></span> here.",我可以在这里看到一个用途。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
walk,走,[sound:e2cf75e3e54c2e3c_uk.mp3],[sound:40b823082ff4e46c_us.mp3],"I can <span style=""color:red;""><b>walk</b></span> it after school.",放学后我可以散步。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
wall,墙,[sound:2645f79abb366c72_uk.mp3],[sound:aa37f3f3c4b5f193_us.mp3],"I can see a <span style=""color:red;""><b>wall</b></span> here.",我可以看到这里有一堵墙。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
watch,手表,[sound:9b6bf7de5a774a57_uk.mp3],[sound:23cac430b5c703a2_us.mp3],"I can <span style=""color:red;""><b>watch</b></span> it after school.",放学后我可以看。,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
water,水,[sound:8bda318c0e9ddcac_uk.mp3],[sound:f818d95739cf31f6_us.mp3],"I like eating <span style=""color:red;""><b>water</b></span> for lunch.",我午餐喜欢喝水。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
watermelon,西瓜,[sound:6abd95c3b311f1a7_uk.mp3],[sound:7b3e5e96ece83649_us.mp3],"I like eating <span style=""color:red;""><b>watermelon</b></span> for lunch.",我午餐喜欢吃西瓜。,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
way,方式,[sound:ea48943f8d7dd8f4_uk.mp3],[sound:e2a0326aa1943920_us.mp3],"I can see a <span style=""color:red;""><b>way</b></span> here.",我在这里可以看到一条路。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
we,我们,[sound:d2dad2ce2ff2d8d6_uk.mp3],[sound:d64c6bb7e49182bf_us.mp3],"I can see a <span style=""color:red;""><b>we</b></span> here.",我可以看到我们在这里。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Wednesday,周三,[sound:8bb5c6fab230d905_uk.mp3],[sound:1151e8291f1f766a_us.mp3],"We will talk about <span style=""color:red;""><b>wednesday</b></span> in class today.",今天我们将在课堂上讨论星期三。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
week,星期,[sound:05b25066be7c4fce_uk.mp3],[sound:e3dd24443d8d83d9_us.mp3],"We will talk about <span style=""color:red;""><b>week</b></span> in class today.",今天我们将在课堂上讨论一周。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
wet,湿的,[sound:d1c9c79350800a0c_uk.mp3],[sound:3085c8ad865ca86a_us.mp3],"I can see a <span style=""color:red;""><b>wet</b></span> here.",我可以看到这里湿漉漉的。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
whale,鲸,[sound:030649b1ef55ab83_uk.mp3],[sound:f911f3870251d103_us.mp3],"I can see a <span style=""color:red;""><b>whale</b></span> at the zoo.",我可以在动物园看到鲸鱼。,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
white,白色的,[sound:f7314ae9b524f981_uk.mp3],[sound:1be696a56d4d99c6_us.mp3],"I can see a <span style=""color:red;""><b>white</b></span> here.",我在这里看到一片白色。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
who,WHO,[sound:791a83fe1c139f03_uk.mp3],[sound:2a4fdbffd1593b5d_us.mp3],"I can see a <span style=""color:red;""><b>who</b></span> here.",我可以在这里看到一个人。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
why,为什么,[sound:a6084e6e15947722_uk.mp3],[sound:db49ea53fbe8c383_us.mp3],"I can see a <span style=""color:red;""><b>why</b></span> here.",我可以在这里看到一个原因。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
William,威廉,[sound:0e00616d8758beee_uk.mp3],[sound:6722ca529b326d62_us.mp3],"I can see a <span style=""color:red;""><b>william</b></span> here.",我可以在这里看到威廉。,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
win,赢,[sound:0f33eeb92ed69950_uk.mp3],[sound:71732cadd6cd2564_us.mp3],"I can <span style=""color:red;""><b>win</b></span> it after school.",放学后我就能赢。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
window,窗户,[sound:48cf9dd7c356d770_uk.mp3],[sound:e78d9e7d89e16ab6_us.mp3],"I can see a <span style=""color:red;""><b>window</b></span> here.",我可以在这里看到一扇窗户。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
woman/women,女人/女人,[sound:4c9ade5fcdc8333e_uk.mp3],[sound:228d1974d0fc5546_us.mp3],"I can see a <span style=""color:red;""><b>woman/women</b></span> here.",我可以在这里看到一个女人/女人。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
wonderful,精彩的,[sound:44a10768bcb62b11_uk.mp3],[sound:d8f1bb94fa13168e_us.mp3],"This is a <span style=""color:red;""><b>wonderful</b></span> one.",这是一件很棒的事。,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
word,单词,[sound:f175f2cb5a8981c8_uk.mp3],[sound:a37752650679e7fd_us.mp3],"I can see the <span style=""color:red;""><b>word</b></span> in my classroom.",我可以在教室里看到这个词。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
wow,哇,[sound:9d43a89e9cb48600_uk.mp3],[sound:5bd1f35acca51190_us.mp3],"I can see a <span style=""color:red;""><b>wow</b></span> here.",我在这里可以看到哇。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
write,写,[sound:e9b53a01bf2065dc_uk.mp3],[sound:9e9baf64ecc7df94_us.mp3],"I can <span style=""color:red;""><b>write</b></span> it after school.",放学后我可以写。,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
year,年,[sound:1cbbdfa8c9c5b905_uk.mp3],[sound:f73a9ad023cf2884_us.mp3],"We will talk about <span style=""color:red;""><b>year</b></span> in class today.",今天我们将在课堂上讨论一年。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
yellow,黄色的,[sound:ca90254ac2537154_uk.mp3],[sound:005db838d25a5b90_us.mp3],"I can see a <span style=""color:red;""><b>yellow</b></span> here.",我在这里看到黄色。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yes,是的,[sound:436b888d31c47c32_uk.mp3],[sound:8e6772bfa6ca9f62_us.mp3],"I can see a <span style=""color:red;""><b>yes</b></span> here.",我在这里看到的是。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yesterday,昨天,[sound:a6b40bc7dab97005_uk.mp3],[sound:c8be5d91ffa60c89_us.mp3],"We will talk about <span style=""color:red;""><b>yesterday</b></span> in class today.",今天我们将在课堂上谈论昨天的事情。,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
yet,然而,[sound:b47808b333ba95a7_uk.mp3],[sound:4ed3aa1defc7774f_us.mp3],"I can see a <span style=""color:red;""><b>yet</b></span> here.",我在这里还可以看到一个。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yoghurt,酸奶,[sound:60ac685a4a2ea02a_uk.mp3],[sound:f78588c805dc36e9_us.mp3],"I like eating <span style=""color:red;""><b>yoghurt</b></span> for lunch.",我午餐喜欢吃酸奶。,易错（tricky）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
you,你,[sound:fb6cd3bf67a3cdf5_uk.mp3],[sound:22fe2e44151b79c6_us.mp3],"I can see a <span style=""color:red;""><b>you</b></span> here.",我在这里能看到一个你。,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
